X,Y,id,addr:city,addr:postcode,name,name:en,name:he
"35.577374","33.217758",node/1803043692,קרית שמונה,"1150104",שפרינצק/הנשיא,Shprinzak/HaNassi,שפרינצק/הנשיא
"35.576985","33.211129",node/1803043714,קרית שמונה,"1150147",שפרינצק/הנרי מלכה,Shprinzak/Henri Malka,שפרינצק/הנרי מלכה
"35.569473","33.220696",node/1803045340,קרית שמונה,"1156307",יקותיאל אדם/יעקב מלול,Yekutiel Adam/Ya'kov Malul,יקותיאל אדם/יעקב מלול
"34.765502","32.065898",node/1803055935,תל אביב-יפו,"6560330",מסוף כרמלית/הכרמל,Carmelit Terminal/Hacarmel,מסוף כרמלית/הכרמל
"34.766098","32.066363",node/1803055936,תל אביב-יפו,"6560334",מסוף כרמלית/הכרמל,Carmelit Terminal/Hacarmel,מסוף כרמלית/הכרמל
"34.763649","32.063276",node/1803059664,תל אביב-יפו,"6812509",מרכז הטקסטיל/המרד,Textil Center/HaMered,מרכז הטקסטיל/המרד
"35.568857","33.205237",node/1803065110,קרית שמונה,"1103210",סיני/תל חי,Sinai/Tel Hai,סיני/תל חי
"35.575328","33.203086",node/1803081795,קרית שמונה,"1153402",קרן היסוד/הירדן,Keren HaYesod/HaYarden,קרן היסוד/הירדן
"35.575329","33.200857",node/1803081797,קרית שמונה,"1153407",קרן היסוד/הנרייטה סאלד,Keren HaYesod/Henrietta Szold,קרן היסוד/הנרייטה סאלד
"35.573792","33.218649",node/1803084518,קרית שמונה,"1102411",קופת חולים/רשי,Kupat Holim/Rashi,קופת חולים/רשי
"35.573676","33.218594",node/1803084522,קרית שמונה,"1102406",קופת חולים/רשי,Kupat Holim/Rashi,קופת חולים/רשי
"35.570443","33.213395",node/1803088995,קרית שמונה,"1103010",שוק עירוני/תל חי,Urban Market/Tel Hai,שוק עירוני/תל חי
"35.570614","33.212637",node/1803094469,קרית שמונה,"1103884",תל חי/הירדן,Tel Hai/HaYarden,תל חי/הירדן
"35.570756","33.217544",node/1803094552,קרית שמונה,"1103887",תל חי/הגלעד,Tel Hai/HaGil'ad,תל חי/הגלעד
"34.8128322","31.8987868",node/1814920069,,"7625302",,,
"34.8884577","32.0880557",node/1839766258,,"4926040",הדואר המרכזי,Central Post Office,הדואר המרכזי
"34.8058583","31.9127978",node/1842593766,,"76706",טל ראן,Tel-Ran,תל-רן
"34.8092052","32.1620068",node/1855369196,,"46733",,,
"34.8104238","31.9831133",node/1876603614,,"75389",Augustin,Augustin,
"34.8219442","31.8978903",node/1896725366,,"76227",,,
"34.7482581","32.0275778",node/1934233984,,"59315",בנק לאומי,Bank Leumi,בנק לאומי
"34.7646623","32.0178783",node/1934234028,,"58361",,,
"34.7482219","32.027645",node/1934234038,,"59315",,,
"34.7620752","32.0588271",node/1950416514,,"6811834",איטלקיה בתחנה,Italkia be Tahana,
"35.2169301","31.7816994",node/1995694159,,"9423005",אביבה,Avivas,אביבה
"34.9527651","29.5581631",node/2000545435,אילת,"88112",Aviv Motel,Aviv Motel,
"34.6510005","31.7857247",node/2026357771,אשדוד,"7757326",,,
"34.8343845","32.0709553",node/2031378118,,"52261",,,
"35.2460184","32.9291614",node/2044959279,Kibbotz Tuval,"12325",Stern Winery,Stern Winery,
"35.575168","33.201238",node/2066288479,קרית שמונה,"1153414",קרן-היסוד/הנרייטה-סאלד,Keren-HaYesod/Henrietta Szold,קרן-היסוד/הנרייטה-סאלד
"34.9640589","32.7910694",node/2074762882,,"35082",פסטה פקטורי,Pasta Factory,פסטה פקטורי
"34.7916661","32.0781738",node/2078965586,,"6492903",,,
"34.752196","32.054657",node/2078967194,,"61083",,,
"34.7761504","32.0630665",node/2079013206,Tel Aviv,"6511604",Abraham Hostel,Abraham Hostel,
"34.793203","32.095076",node/2079027464,תל אביב-יפו,"6230231",,,
"34.786229","32.052156",node/2079030802,Tel Aviv,"6775393",,,
"34.782164","32.092327",node/2079032186,Tel Aviv,"62382",Lotus yoga & Pilates Studio,Lotus yoga & Pilates Studio,
"34.752557","32.034556",node/2079068862,,"6807644",סילבר,Silver,
"34.774772","32.073353",node/2079181228,,"6433701",,Bootleg,
"34.780602","32.089632",node/2079184297,תל אביב-יפו,"6274422",Tel Aviv Doctor,,
"34.767076","32.074558",node/2079198737,,"6390408",,,
"34.768453","32.063542",node/2079202591,,"65144",מקום של בשר,Makom Shel Basar (The Place for Meat),מקום של בשר
"34.767181","32.074783",node/2079208703,תל אביב-יפו,"63904",Hotel Gilgal,Hotel Gilgal,מלון גילגל
"34.751555","32.052679",node/2079208883,Tel Aviv,"6803608",ג'אסיה,Jasia,ג'אסיה
"34.78146","32.069919",node/2079211318,תל אביב-יפו,"6527401",,,
"34.7739405","32.0188893",node/2118045172,,"58328",משען לב חולון,Mishan Lev Holon,משען לב חולון
"34.4476459","31.5099742",node/2133999604,,"00000",EleSys Company,,
"34.7705798","32.0645717",node/2139853804,תל אביב,"65252",סתווים - Stivim Restaurant - Coin Commerce,,סתווים - Stivim Restaurant - Coin Commerce
"34.7662017","32.0760598",node/2252454154,,"63431",Beachfront hotel,Beachfront hotel,
"34.2279393","31.2562276",node/2297109152,رفح‎,"45614",مستشفى رفح‎,Rafah Hopital,
"35.0263751","31.9441081",node/2319606107,رام الله,"00972",بكر ستورز,baker stores,
"34.7895924","31.9360844",node/2341735388,,"74207",,,
"34.6090873","31.7011453",node/2373547437,,"7928900",,,
"34.6077809","31.7011018",node/2373547442,,"7928900",,,
"34.6081539","31.7016701",node/2373547445,,"7928900",,,
"34.6081484","31.7014327",node/2373547449,,"7928900",,,
"34.6085588","31.7006843",node/2373547453,,"7928900",,,
"34.6071156","31.7011446",node/2373547457,,"7928900",,,
"34.6074702","31.7004874",node/2373547467,,"7928900",,,
"34.608964","31.701232",node/2373547486,,"7928900",,,
"34.6075585","31.7002279",node/2373547490,,"7928900",,,
"34.6084328","31.7015378",node/2373547493,,"7928900",,,
"34.6076902","31.7009116",node/2373547496,,"7928900",,,
"34.607899","31.7010494",node/2373547500,,"7928900",,,
"34.6090229","31.7009375",node/2373547503,,"7928900",,,
"34.6091489","31.7008348",node/2373547506,,"7928900",,,
"34.6093663","31.7009217",node/2373547509,,"7928900",,,
"34.6072771","31.7015052",node/2373547512,,"7928900",,,
"34.6079739","31.6999673",node/2373547515,,"7928900",,,
"34.6066436","31.7007841",node/2373547518,,"7928900",,,
"34.6074107","31.7003096",node/2373547521,,"7928900",,,
"34.6080331","31.7009923",node/2373547525,,"7928900",,,
"34.6066466","31.7005566",node/2373547528,,"7928900",,,
"34.6088269","31.7001499",node/2373547531,,"7928900",,,
"34.6089478","31.7003989",node/2373547535,,"7928900",,,
"34.6072658","31.7010079",node/2373547538,,"7928900",,,
"34.6078293","31.7015743",node/2373547541,,"7928900",,,
"34.6084381","31.7012821",node/2373547544,,"7928900",,,
"34.6081027","31.6998621",node/2373547547,,"7928900",,,
"34.609417","31.7006108",node/2373547549,,"7928900",,,
"34.6079984","31.701734",node/2373547553,,"7928900",,,
"34.6088297","31.7004926",node/2373547556,,"7928900",,,
"34.6094765","31.7008297",node/2373547559,,"7928900",,,
"34.6085884","31.7014464",node/2373547563,,"7928900",,,
"34.6072176","31.701373",node/2373547566,,"7928900",,,
"34.6081939","31.7000677",node/2373547569,,"7928900",,,
"34.6075609","31.7017699",node/2373547573,,"7928900",,,
"34.6074917","31.7012174",node/2373547577,,"7928900",,,
"34.6087546","31.7011042",node/2373547580,,"7928900",,,
"34.607636","31.701601",node/2373547584,,"7928900",,,
"34.6092376","31.7010312",node/2373547588,,"7928900",,,
"34.6069601","31.7007567",node/2373547592,,"7928900",,,
"34.6084462","31.7004583",node/2373547595,,"7928900",,,
"34.6088887","31.7010242",node/2373547599,,"7928900",,,
"34.6081833","31.7009262",node/2373547602,,"7928900",,,
"34.6084514","31.699876",node/2373547607,,"7928900",,,
"34.608328","31.6999762",node/2373547611,,"7928900",,,
"34.6087064","31.7005816",node/2373547615,,"7928900",,,
"34.6080651","31.7001588",node/2373547622,,"7928900",,,
"34.609283","31.7007345",node/2373547635,,"7928900",,,
"34.6071693","31.7006106",node/2373547640,,"7928900",,,
"34.6076896","31.7017929",node/2373547646,,"7928900",,,
"34.6096155","31.7007156",node/2373547652,,"7928900",,,
"34.608414","31.7007779",node/2373547658,,"7928900",,,
"34.6082207","31.6997663",node/2373547671,,"7928900",,,
"34.6071747","31.7007658",node/2373547685,,"7928900",,,
"34.6076495","31.7011544",node/2373547702,,"7928900",,,
"34.6087117","31.7002529",node/2373547708,,"7928900",,,
"34.6078479","31.7017843",node/2373547721,,"7928900",,,
"34.6075448","31.7009803",node/2373547726,,"7928900",,,
"34.6078404","31.7008388",node/2373547734,,"7928900",,,
"34.6068372","31.7007336",node/2373547739,,"7928900",,,
"34.6073946","31.7010353",node/2373547746,,"7928900",,,
"34.607599","31.7004326",node/2373547751,,"7928900",,,
"34.6080009","31.7015012",node/2373547757,,"7928900",,,
"34.607835","31.7000582",node/2373547763,,"7928900",,,
"34.6082988","31.7016062",node/2373547768,,"7928900",,,
"34.6090629","31.7002914",node/2373547775,,"7928900",,,
"34.6070835","31.7004374",node/2373547779,,"7928900",,,
"34.6070674","31.701017",node/2373547789,,"7928900",,,
"34.6085883","31.7003556",node/2373547796,,"7928900",,,
"34.6074327","31.7017197",node/2373547801,,"7928900",,,
"34.6070143","31.700889",node/2373547809,,"7928900",,,
"34.6088405","31.7013072",node/2373547814,,"7928900",,,
"34.6073463","31.7016238",node/2373547820,,"7928900",,,
"34.6082932","31.701362",node/2373547825,,"7928900",,,
"34.607242","31.7003831",node/2373547831,,"7928900",,,
"34.6074112","31.701318",node/2373547838,,"7928900",,,
"34.6073302","31.7005515",node/2373547844,,"7928900",,,
"34.6133557","31.7004677",node/2374697405,,"7928900",,,
"34.6142145","31.6993331",node/2374697406,,"7928900",,,
"34.6129707","31.6996803",node/2374697407,,"7928900",,,
"34.6135101","31.6996943",node/2374697408,,"7928900",,,
"34.6135539","31.7001128",node/2374697409,,"7928900",,,
"34.6141321","31.6992151",node/2374697410,,"7928900",,,
"34.6137274","31.7000065",node/2374697411,,"7928900",,,
"34.6133318","31.6998005",node/2374697412,,"7928900",,,
"34.6122164","31.6983969",node/2374697413,,"7928900",,,
"34.6127014","31.6993238",node/2374697414,,"7928900",,,
"34.6126617","31.6985488",node/2374697415,,"7928900",,,
"34.6129136","31.6987805",node/2374697416,,"7928900",,,
"34.6142741","31.6990416",node/2374697417,,"7928900",,,
"34.6131714","31.6998807",node/2374697418,,"7928900",,,
"34.6137924","31.6998941",node/2374697419,,"7928900",,,
"34.6126248","31.6992142",node/2374697420,,"7928900",,,
"34.6128991","31.7000388",node/2374697421,,"7928900",,,
"34.6127981","31.6986577",node/2374697422,,"7928900",,,
"34.6136475","31.7003003",node/2374697423,,"7928900",,,
"34.6123257","31.698848",node/2374697424,,"7928900",,,
"34.6121635","31.6985473",node/2374697425,,"7928900",,,
"34.6140107","31.6986734",node/2374697426,,"7928900",,,
"34.6133982","31.7001995",node/2374697427,,"7928900",,,
"34.6131354","31.6990636",node/2374697428,,"7928900",,,
"34.6134108","31.6994522",node/2374697429,,"7928900",,,
"34.6121148","31.6986828",node/2374697430,,"7928900",,,
"34.6125222","31.6990829",node/2374697431,,"7928900",,,
"34.6125284","31.6984544",node/2374697432,,"7928900",,,
"34.6133267","31.698202",node/2374697433,,"7928900",,,
"34.6132064","31.6981021",node/2374697435,,"7928900",,,
"34.6122769","31.6982633",node/2374697436,,"7928900",,,
"34.6146617","31.6995667",node/2374697437,,"7928900",,,
"34.6124226","31.6989832",node/2374697438,,"7928900",,,
"34.6123369","31.6981132",node/2374697439,,"7928900",,,
"34.6143953","31.6998777",node/2374697440,,"7928900",,,
"34.6147531","31.6996893",node/2374697441,,"7928900",,,
"34.6129354","31.6979025",node/2374697442,,"7928900",,,
"34.6128983","31.6995828",node/2374697443,,"7928900",,,
"34.6137986","31.700211",node/2374697444,,"7928900",,,
"34.6143132","31.6994691",node/2374697445,,"7928900",,,
"34.6143126","31.6996854",node/2374697446,,"7928900",,,
"34.614107","31.7000437",node/2374697447,,"7928900",,,
"34.6133345","31.699345",node/2374697448,,"7928900",,,
"34.6127411","31.6978083",node/2374697449,,"7928900",,,
"34.6123835","31.6979802",node/2374697451,,"7928900",,,
"34.6139544","31.7001267",node/2374697453,,"7928900",,,
"34.6148375","31.6998088",node/2374697457,,"7928900",,,
"34.6124432","31.6978143",node/2374697460,,"7928900",,,
"34.6143857","31.6995667",node/2374697463,,"7928900",,,
"34.6125009","31.6976828",node/2374697467,,"7928900",,,
"34.6121149","31.6989479",node/2374697470,,"7928900",,,
"34.6125663","31.6974655",node/2374697474,,"7928900",,,
"34.6122011","31.6990743",node/2374697477,,"7928900",,,
"34.6140201","31.6990681",node/2374697480,,"7928900",,,
"34.6125697","31.6982132",node/2374697484,,"7928900",,,
"34.6142618","31.6999532",node/2374697487,,"7928900",,,
"34.6126772","31.6983062",node/2374697494,,"7928900",,,
"34.6127193","31.6975365",node/2374697498,,"7928900",,,
"34.6122975","31.699168",node/2374697501,,"7928900",,,
"34.6139382","31.6989569",node/2374697505,,"7928900",,,
"34.6128362","31.6984141",node/2374697508,,"7928900",,,
"34.6128655","31.6976076",node/2374697512,,"7928900",,,
"34.6130045","31.6977019",node/2374697515,,"7928900",,,
"34.6129326","31.6985041",node/2374697518,,"7928900",,,
"34.6124202","31.6993075",node/2374697522,,"7928900",,,
"34.6138923","31.69973",node/2374697525,,"7928900",,,
"34.6131333","31.697787",node/2374697529,,"7928900",,,
"34.6136636","31.6997207",node/2374697532,,"7928900",,,
"34.612682","31.6996671",node/2374697536,,"7928900",,,
"34.6125127","31.6994406",node/2374697539,,"7928900",,,
"34.6120871","31.6988356",node/2374697540,,"7928900",,,
"34.613063","31.6979919",node/2374697541,,"7928900",,,
"34.6127649","31.699777",node/2374697544,,"7928900",,,
"34.6130602","31.6986255",node/2374697561,,"7928900",,,
"34.613145","31.6987225",node/2374697565,,"7928900",,,
"34.6132801","31.69789",node/2374697569,,"7928900",,,
"34.6135191","31.6980943",node/2374697572,,"7928900",,,
"34.6135162","31.6992097",node/2374697576,,"7928900",,,
"34.6136217","31.6981986",node/2374697579,,"7928900",,,
"34.6135513","31.6984465",node/2374697583,,"7928900",,,
"34.6124836","31.7000285",node/2374697587,,"7928900",,,
"34.613598","31.6993184",node/2374697590,,"7928900",,,
"34.613746","31.6983272",node/2374697594,,"7928900",,,
"34.6133888","31.6979846",node/2374697597,,"7928900",,,
"34.6136916","31.6994484",node/2374697601,,"7928900",,,
"34.6138351","31.6984412",node/2374697604,,"7928900",,,
"34.6130519","31.6989533",node/2374697607,,"7928900",,,
"34.6140823","31.6987727",node/2374697611,,"7928900",,,
"34.6137814","31.6995786",node/2374697614,,"7928900",,,
"34.6145528","31.6997925",node/2374697616,,"7928900",,,
"34.6134584","31.6983363",node/2374697619,,"7928900",,,
"34.6139602","31.6998168",node/2374697622,,"7928900",,,
"34.6143832","31.6991913",node/2374697626,,"7928900",,,
"34.6141904","31.698928",node/2374697629,,"7928900",,,
"34.6124341","31.6974063",node/2374697632,,"7928900",,,
"34.6144559","31.6992888",node/2374697635,,"7928900",,,
"34.6140793","31.6998101",node/2374697639,,"7928900",,,
"34.6145707","31.6994411",node/2374697642,,"7928900",,,
"34.61351","31.7003786",node/2374697645,,"7928900",,,
"34.6053051","31.7009415",node/2374829542,,"7928900",,,
"34.6054797","31.70138",node/2374829547,,"7928900",,,
"34.603508","31.6997191",node/2374829550,,"7928900",,,
"34.6037006","31.6997961",node/2374829553,,"7928900",,,
"34.6045771","31.7015008",node/2374829555,,"7928900",,,
"34.6050822","31.7000615",node/2374829556,,"7928900",,,
"34.6049002","31.7000287",node/2374829557,,"7928900",,,
"34.6045997","31.7012982",node/2374829558,,"7928900",,,
"34.6047238","31.6999912",node/2374829559,,"7928900",,,
"34.6038392","31.699875",node/2374829560,,"7928900",,,
"34.603983","31.6999423",node/2374829561,,"7928900",,,
"34.6042418","31.7014269",node/2374829562,,"7928900",,,
"34.6052562","31.7000852",node/2374829563,,"7928900",,,
"34.6042957","31.7000788",node/2374829564,,"7928900",,,
"34.6047479","31.7015334",node/2374829565,,"7928900",,,
"34.6041474","31.700014",node/2374829566,,"7928900",,,
"34.6038021","31.701061",node/2374829567,,"7928900",,,
"34.6042","31.699811",node/2374829568,,"7928900",,,
"34.6036458","31.7010027",node/2374829569,,"7928900",,,
