"address","lat","long","accuracy"
"Maon Farm",31.414592,35.163893,"locality"
"Maoz Ester",29.2985278,42.5509603,"colloquial_area"
"Maoz Zvi",29.2985278,42.5509603,"colloquial_area"
"Maskiyot",32.317865,35.502754,"locality"
"Maskiyot South",32.317865,35.502754,"locality"
"Masu’a",32.111805,35.490255,"locality"
"Matityahu",31.929747,35.034997,"locality"
"Mechola",32.365285,35.51602,"locality"
"Mechora",32.164159,35.423623,"locality"
"Merom Ayalon",29.2985278,42.5509603,"colloquial_area"
"Metzokey Dragot",31.591008,35.393344,"locality"
"Mevasser Industrial Area",29.2985278,42.5509603,"colloquial_area"
"Mevo Dotan",32.420772,35.173869,"locality"
"Mevo Horon",31.849598,35.034977,"locality"
"Mevo’ot Jericho",31.9074488,35.4155538,"locality"
"Migdal Oz",31.640932,35.143139,"locality"
"Migdalim",32.089866,35.342633,"locality"
"Migron",29.2985278,42.5509603,"colloquial_area"
"Migron HaHadasha",31.848896,35.159029,"locality"
"Mishol Hamaayan Farm",29.2985278,42.5509603,"colloquial_area"
"Mishor Adumim",31.793433,35.336445,"establishment"
"Mishpatei Aretz Inst.",29.2985278,42.5509603,"colloquial_area"
"Mitzpe Avihai",30.610203,34.801898,"locality"
"Mitzpe Eshtamoa",30.610203,34.801898,"locality"
"Mitzpe Ha’ai",30.610203,34.801898,"locality"
"Mitzpe Hatora",30.610203,34.801898,"locality"
"Mitzpe Kramim",31.333464,34.917879,"locality"
"Mitzpe Kramim East",31.333464,34.917879,"locality"
"Mitzpe Lachish",30.610203,34.801898,"locality"
"Mitzpe Shalem",31.568875,35.400367,"locality"
"Mitzpe Yair",30.610203,34.801898,"locality"
"Mitzpe Yericho",31.815688,35.395409,"locality"
"Mitzpeh Danny",31.815688,35.395409,"locality"
"Mizpe Jericho North East",31.815688,35.395409,"locality"
"Mizpe Yitzhar",30.610203,34.801898,"locality"
"Modi’in Ilit",31.932477,35.042265,"locality"
"Mor Farm",29.2985278,42.5509603,"colloquial_area"
"Mul Nevo",29.2985278,42.5509603,"colloquial_area"
"Na’ale",31.962594,35.065976,"locality"
"Na’ama",31.907541,35.467713,"locality"
"Nahalat Yossef",31.7801794,35.2209736,"neighborhood"
"Nahliel",31.973542,35.140431,"locality"
"Negohot",31.493077,34.983347,"locality"
"Negohot Farm",31.493077,34.983347,"locality"
"Nerya",29.2985278,42.5509603,"colloquial_area"
"Netiv Ha’gdud",31.989412,35.443281,"locality"
"Neve Achi",29.2985278,42.5509603,"colloquial_area"
"Neve Daniel",31.67632,35.143293,"locality"
"Neve Daniel North",31.67632,35.143293,"locality"
"Neve Erez",31.55984,34.564889,"locality"
"Neve Ya’akov",31.841769,35.242762,"neighborhood"
"Nili",31.963415,35.04727,"locality"
"Nili West",31.963415,35.04727,"locality"
"Niran",31.968178,35.453892,"locality"
"Nirit",32.146206,34.984822,"locality"
"Nof Harim",29.2985278,42.5509603,"colloquial_area"
"Nof Nesher",32.7649,35.049191,"locality"
"Nof Zion Jabel Mukaber",31.754196,35.239927,"neighborhood"
"Nofei Nehemia",32.098245,35.23593,"neighborhood"
"Nofei Prat",31.823519,35.319875,"neighborhood"
"Nofei Prat South 324",31.823519,35.319875,"neighborhood"
"Nofim",32.155458,35.09984,"locality"
"Nokdim",31.645331,35.244064,"locality"
"Ofarim",32.040059,35.049472,"locality"
"Ofra",31.955101,35.260324,"locality"
"Ofra North East",31.955101,35.260324,"locality"
"Old Keidar",31.754384,35.310732,"locality"
"Old Massu’ot Itzhak",31.70261,34.689968,"locality"
"Omer Farm",29.2985278,42.5509603,"colloquial_area"
"Oranit",32.131924,34.99081,"locality"
"Otniel",31.438812,35.028163,"locality"
"Ovnat",31.679039,35.436945,"locality"
"Oz Vegaon",29.2985278,42.5509603,"colloquial_area"
"Palgei Mayim",32.087696,35.274822,"neighborhood"
"Peace Forest",31.7593707,35.2299572,"establishment"
"Pedu’el",32.062479,35.052619,"locality"
"Petzael",32.043492,35.443753,"locality"
"Pisgat Ze’ev",31.831116,35.241725,"neighborhood"
"Pnei Hever",31.487074,35.1651,"locality"
"Pnei Hever South",31.487074,35.1651,"locality"
"Pnei Kedem",31.589538,35.19511,"neighborhood"
"Pnei Kedem Farm",31.7407454,35.2160762,"establishment"
"Psagot",31.899984,35.223923,"locality"
"Ramat Eshkol",31.802842,35.223004,"neighborhood"
"Ramat Gilad",32.1807,35.113198,"neighborhood"
"Ramat Shlomo",31.811922,35.21672,"neighborhood"
"Ramot",32.850365,35.665245,"locality"
"Ras El-Amud Settlement",31.771366,35.243698,"neighborhood"
"Ras Karkar Farm",31.942694,35.103905,"locality"
"Rechelim",32.10246,35.257756,"locality"
"Reihan",32.468752,35.135271,"locality"
"Revava",32.11871,35.129583,"locality"
"Rimonim",31.935382,35.340494,"locality"
"Rimonim North",31.935382,35.340494,"locality"
"Ro’i",32.24751,35.48948,"locality"
"Rosh Tzurim",31.667791,35.125288,"locality"
"Rotem",32.3366,35.518576,"locality"
"Sal’it",32.242589,35.051258,"locality"
"Sansana",31.361765,34.901003,"locality"
"Sde Bar",29.2985278,42.5509603,"colloquial_area"
"Sha’arei Tikva",32.120679,35.026998,"locality"
"Shabtai’s Farm",29.2985278,42.5509603,"colloquial_area"
"Shadmot Mehola",32.347731,35.530587,"locality"
"Shahak Industrial Area",29.2985278,42.5509603,"colloquial_area"
"Shaharit",32.0695657,34.7898425,"establishment"
"Shaked",32.473745,35.168448,"locality"
"Shaked Farm",29.2985278,42.5509603,"colloquial_area"
"Shalhevet Farm",34.0597944,-118.3628135,"establishment"
"Shani",29.2985278,42.5509603,"colloquial_area"
"Shavei Shomron",32.26372,35.183444,"locality"
"Sheikh Jarrah Settlement",31.794043,35.233471,"neighborhood"
"Shilo",32.054405,35.29909,"locality"
"Shilo Industrial Area",29.2985278,42.5509603,"colloquial_area"
"Shim’a",31.387342,35.012699,"locality"
"Shim’a (aka Meitarim) Industrial Area",31.387342,35.012699,"locality"
"Shirat Haasabim",29.2985278,42.5509603,"colloquial_area"
"Shkhunat Gal",29.2985278,42.5509603,"colloquial_area"
"Shvut Rachel",32.054539,35.310703,"locality"
"Silwan Settlement",31.770128,35.236068,"neighborhood"
"Skali’s Farm",29.2985278,42.5509603,"colloquial_area"
"Sneh Ya’akov",31.880152,35.242773,"locality"
"Suseya",31.391051,35.110978,"locality"
"Susiya North West",31.391051,35.110978,"locality"
"Susya East",31.391051,35.110978,"locality"
"Tal Menashe",32.483124,35.160699,"neighborhood"
"Talmon",31.939475,35.133131,"locality"
"Telem",31.563051,35.03124,"locality"
"Tene",31.376132,34.957383,"locality"
"The Gush Junction",29.2985278,42.5509603,"colloquial_area"
"Tko’a",29.2985278,42.5509603,"colloquial_area"
"Tko’a B-C",29.2985278,42.5509603,"colloquial_area"
"Tko’a D",29.2985278,42.5509603,"colloquial_area"
"Tko’a E",31.7830474,35.2106003,"route"
"Tomer",32.018587,35.4398,"locality"
"Tzofim",32.197318,35.008912,"locality"
"Tzofim North",32.197318,35.008912,"locality"
"Tzur Shalem",29.2985278,42.5509603,"colloquial_area"
"Um Zuka",29.2985278,42.5509603,"colloquial_area"
"Vered Yericho",31.826192,35.432139,"locality"
"Yafit",32.062687,35.474317,"locality"
"Yair Farm",32.145289,35.104794,"neighborhood"
"Yakir",32.149831,35.114631,"locality"
"Yatir (aka Metzadot Yehuda)",31.347454,35.035536,"establishment"
"Yitav",31.947215,35.422375,"locality"
"Yitzhar",32.168529,35.235944,"locality"
"Zayit Ra’anan",29.2985278,42.5509603,"colloquial_area"
